data_format,name,evaluation,size,tag,browse,price,trade,trade_year,type,file_type,trade_mouth,time,trade_week
,查询企业失信人,4,,行政监管,23052,0.20元/次,0,0,API数据,,0,,0
,查询企业经营异常,4,,经营管理,29367,0.20元/次,0,0,API数据,,0,,0
,查询企业开庭公告,4,,公告文书,24316,0.12元/次,0,0,API数据,,0,,0
,全国洗浴推拿店位置数据,4,,位置地图,28447,0.20元/次,0,0,API数据,,0,,0
,全国洗衣店位置数据,4,,位置地图,20644,0.20元/次,0,0,API数据,,0,,0
,全国摄影冲印店位置数据,4,,位置地图,24588,0.20元/次,0,0,API数据,,0,,0
,全国学校位置数据,5,,位置地图,22926,0.20元/次,0,0,API数据,,0,,0
,商标列表查询,4,,知识产权,25023,0.042元/次,4000,0,API数据,,0,,0
,全国公共厕所位置数据,4,,位置地图,28049,0.20元/次,0,0,API数据,,0,,0
,全国便民商店位置数据,4,,位置地图,30069,0.20元/次,0,0,API数据,,0,,0
,查询企业法律诉讼,4,,行政监管,29275,0.20元/次,0,0,API数据,,0,,0
,全国家电电子卖场位置数据,4,,位置地图,27784,0.20元/次,0,0,API数据,,0,,0
,全国快餐厅位置数据,4,,位置地图,30124,0.20元/次,0,0,API数据,,0,,0
,全国特色商业街位置数据,4,,位置地图,27159,0.20元/次,0,0,API数据,,0,,0
,全国青年旅社位置数据,4,,位置地图,24447,0.20元/次,0,0,API数据,,0,,0
,全国五星级宾馆位置数据,4,,位置地图,21116,0.20元/次,0,0,API数据,,0,,0
,身份证识别,5,,智能风控,26507,0.024元/次,20000,20000,API数据,,0,,0
,全国产业园区位置数据,4,,位置地图,30073,0.20元/次,0,0,API数据,,0,,0
,全国省市县行政区划,4,,位置地图,23874,4.00元/万次,0,0,API数据,,0,,0
,火车查询接口,5,,公路铁路,25797,0.010元/次,300000,300000,API数据,,0,,0
,全国旅馆招待所位置数据,4,,位置地图,23289,0.20元/次,0,0,API数据,,0,,0
,全国诊所位置数据,4,,位置地图,28008,0.20元/次,0,0,API数据,,0,,0
,全国商务大厦写字楼位置数据,4,,位置地图,25236,0.20元/次,0,0,API数据,,0,,0
,全国卫生院位置数据,4,,位置地图,25242,0.20元/次,0,0,API数据,,0,,0
,全国职业技术学校位置数据,4,,位置地图,24126,0.20元/次,0,0,API数据,,0,,0
,全国培训机构位置数据,4,,位置地图,28100,0.20元/次,0,0,API数据,,0,,0
,全国成人教育学校位置数据,4,,位置地图,24983,0.20元/次,0,0,API数据,,0,,0
,OCR车牌识别,4,,1分钱,26101,0.028元/次,0,0,API数据,,0,,0
,OCR台湾摩托车车牌识别,4,,1分钱,23614,0.028元/次,0,0,API数据,,0,,0
,全国居民小区位置数据,5,,位置地图,25519,0.20元/次,22000,3000,API数据,,0,,0
,全国综合医院位置数据,5,,位置地图,31061,0.20元/次,0,0,API数据,,0,,0
,OCR动物识别,4,,1分钱,27697,0.028元/次,0,0,API数据,,0,,0
,失信被执行人查询,5,,企业综合,25879,0.10元/次,5000,5000,API数据,,0,,0
,OCR植物花卉识别,4,,1分钱,26407,0.028元/次,0,0,API数据,,0,,0
,多基站定位,5,,基站,31492,0.003元/次,100000,100000,API数据,,0,,0
,企业负面信息,4,,企业综合,22488,0.20元/次,0,0,API数据,,0,,0
,企业年报信息,4,,经营管理,25307,0.20元/次,0,0,API数据,,0,,0
,动产抵押信息,4,,企业综合,23203,0.20元/次,0,0,API数据,,0,,0
,企业严重违法信息,4,,行政监管,28066,0.20元/次,0,0,API数据,,0,,0
,标准中文电码查询,5,,app应用,31344,7.50元/万次,0,0,API数据,,0,,0
,企业法院裁判信息,4,,行政监管,23936,0.20元/次,0,0,API数据,,0,,0
,失信被执行信息接口,5,,反欺诈,41603,0.20元/次,0,0,API数据,,0,,0
,企业对外投资信息,4,,投融资,26836,0.20元/次,0,0,API数据,,0,,0
,车辆尾号限行查询,5,,尾号限行,27360,0.005元/次,100000,100000,API数据,,50000,,0
,查询企业动产抵押,4,,企业综合,30104,0.20元/次,0,0,API数据,,0,,0
,全国交通违章查询,5,,交通违章,57220,0.044元/次,430000,20000,API数据,,0,,0
,查询企业欠税公告,4,,税务信息,21585,0.20元/次,0,0,API数据,,0,,0
,查询企业严重违法,4,,行政监管,21577,0.20元/次,0,0,API数据,,0,,0
,查询企业司法拍卖,4,,企业综合,25373,0.20元/次,0,0,API数据,,0,,0
,查询企业行政处罚,4,,行政监管,24462,0.20元/次,0,0,API数据,,0,,0
,云智信134字营销短信Api,4,,短信API,21010,0.11元/次,0,0,API数据,,0,,0
,查询企业分支机构,4,,企业综合,24605,0.12元/次,0,0,API数据,,0,,0
,简体繁体火星文转换,5,,app应用,27793,4.00元/万次,0,0,API数据,,0,,0
,查询企业对外投资,4,,投融资,23074,0.12元/次,0,0,API数据,,0,,0
,查询企业被执行人,4,,行政监管,23358,0.20元/次,0,0,API数据,,0,,0
,查询企业变更记录,4,,企业工商,23723,0.12元/次,0,0,API数据,,0,,0
,查询企业股权出质,4,,投融资,24803,0.20元/次,0,0,API数据,,0,,0
,企业著作权数据查询,4,,知识产权,29797,0.11元/次,0,0,API数据,,0,,0
,查询企业股东信息,4,,企业综合,23497,0.12元/次,0,0,API数据,,0,,0
,公司模糊搜索,4,,企业综合,23269,0.050元/次,10000,10000,API数据,,0,,0
,名片识别,5,,智能风控,30539,0.030元/次,0,0,API数据,,0,,0
,企业纳税人识别号查询,4,,税务信息,27379,0.11元/次,0,0,API数据,,0,,0
,周公解梦,5,,星座运势,25870,0.005元/次,50000,50000,API数据,,0,,0
,彩票开奖查询,5,,彩票信息,30221,4.00元/万次,500000,500000,API数据,,0,,0
,身份证号码查询,5,,身份核验,32402,7.50元/万次,750700,250000,API数据,,0,,0
,营业执照识别,5,,企业综合,23577,0.072元/次,5000,0,API数据,,0,,0
,银行卡识别,5,,智能风控,30704,0.070元/次,0,0,API数据,,0,,0
,车牌号校验,5,,车辆信息,30575,0.017元/次,0,0,API数据,,0,,0
,今日油价查询,5,,油价查询,33617,4.00元/万次,100,0,API数据,,0,,0
,企业工商数据信息查询,5,,企业工商,25811,0.30元/次,1008,1000,API数据,,0,,0
,汇率查询,5,,股票汇率,28975,7.50元/万次,250000,250000,API数据,,0,,0
,星座运势查询,5,,星座运势,24983,4.00元/万次,1500000,1500000,API数据,,0,,0
,条码生成与识别,4,,商品信息,29325,7.50元/万次,1000,0,API数据,,0,,0
,IP查询,5,,IP地址,29822,4.00元/万次,0,0,API数据,,0,,0
,通用文字识别,4,,智能识别,30095,0.005元/次,100000,0,API数据,,0,,0
,二维码生成识别,5,,app应用,27117,7.50元/万次,0,0,API数据,,0,,0
,行驶证识别,5,,智能风控,31148,0.042元/次,0,0,API数据,,0,,0
,全国大学位置数据,4,,位置地图,24009,0.20元/次,0,0,API数据,,0,,0
,全国汽车养护服务位置数据,4,,位置地图,25854,0.20元/次,0,0,API数据,,0,,0
,全国中学位置数据,4,,位置地图,24911,0.20元/次,0,0,API数据,,0,,0
,手机号码归属地收费版,5,,手机号码归属,28758,7.50元/万次,1000000,1000000,API数据,,0,,0
,著作权软著查询,5,,知识产权,32941,0.14元/次,42820,2000,API数据,,0,,0
,WHOIS查询,4,,资质备案,24925,0.005元/次,100000,0,API数据,,0,,0
,经纬度地址转换,5,,位置地图,34454,7.50元/万次,0,0,API数据,,0,,0
,全国保险公司位置数据,4,,位置地图,24001,0.20元/次,0,0,API数据,,0,,0
,基站查询,5,,基站,24076,0.005元/次,201000,200000,API数据,,0,,0
,全国汽车配件销售位置数据,4,,位置地图,23256,0.20元/次,0,0,API数据,,0,,0
,银行卡归属地,5,,银行卡信息,29045,0.010元/次,90000,90000,API数据,,60000,,0
,全国小学位置数据,4,,位置地图,28436,0.20元/次,0,0,API数据,,0,,0
,全国咖啡厅位置数据,4,,位置地图,24077,0.20元/次,0,0,API数据,,0,,0
,全国洗车场位置数据,4,,位置地图,25234,0.20元/次,0,0,API数据,,0,,0
,全国二手车市场位置数据,4,,位置地图,20952,0.20元/次,0,0,API数据,,0,,0
,全国汽车维修位置数据,4,,位置地图,22956,0.20元/次,0,0,API数据,,0,,0
,全国汽车销售位置数据,4,,位置地图,22537,0.20元/次,0,0,API数据,,0,,0
,OCR通用文字识别,4,,1分钱,30288,0.028元/次,0,0,API数据,,0,,0
,全国幼儿园位置数据,4,,位置地图,23526,0.20元/次,0,0,API数据,,0,,0
,白银价格,5,,产业经济,28189,7.50元/万次,0,0,API数据,,0,,0
,名片识别,4,,智能风控,22448,0.035元/次,0,0,API数据,,0,,0
,车牌识别,4,,智能识别,23209,0.024元/次,0,0,API数据,,0,,0
,银行卡识别,4,,智能风控,21850,0.024元/次,0,0,API数据,,0,,0
,驾考题库收费版,4,,行驶驾驶,24883,4.00元/万次,0,0,API数据,,0,,0
,坐标系转换,5,,位置地图,26306,7.50元/万次,0,0,API数据,,0,,0
,身份证实名认证,5,,身份核验,26502,0.090元/次,1005,1000,API数据,,1000,,0
,手机号属地查询,5,,手机号码归属,27883,0.013元/次,40000,40000,API数据,,0,,0
,手机号三要素实名认证,5,,手机号验证,32862,0.35元/次,500,500,API数据,,0,,0
,银行卡四要素实名验证,5,,银行卡核验,29888,0.35元/次,0,0,API数据,,0,,0
,菜谱大全收费版,5,,app应用,27184,3.78元/万次,0,0,API数据,,0,,0
,证件识别,5,,智能风控,27393,0.080元/次,0,0,API数据,,0,,0
,电视节目预告,4,,新闻资讯,24058,7.50元/万次,0,0,API数据,,0,,0
,OCR银行卡识别,4,,1分钱,25121,0.028元/次,0,0,API数据,,0,,0
,区号查询,5,,区号查询,27823,7.50元/万次,0,0,API数据,,0,,0
,全国移动联通电信邮局位置数据,5,,位置地图,31117,0.20元/次,0,0,API数据,,0,,0
,身份证识别,5,,智能风控,33785,0.070元/次,20000,20000,API数据,,5000,,0
,全国银行证券机构位置数据,5,,位置地图,26494,0.20元/次,0,0,API数据,,0,,0
,驾驶证识别,4,,智能风控,25513,0.042元/次,20000,20000,API数据,,0,,0
,空气质量指数,5,,环境质量,23293,0.010元/次,100,0,API数据,,0,,0
,失信被执行人黑名单,5,,反欺诈,31744,0.048元/次,55100,55000,API数据,,5000,,0
,全国棋牌室位置数据,4,,位置地图,26738,0.20元/次,0,0,API数据,,0,,0
,全国网吧位置数据,4,,位置地图,25541,0.20元/次,0,0,API数据,,0,,0
,全国酒吧位置数据,4,,位置地图,28875,0.20元/次,0,0,API数据,,0,,0
,八字排盘,4,,星座运势,22648,0.005元/次,300000,300000,API数据,,0,,0
,黄金价格,5,,产业经济,31166,7.50元/万次,300000,300000,API数据,,0,,0
,OCR网络图片文字识别,4,,1分钱,31042,0.028元/次,62000,62000,API数据,,0,,0
,全国电影院位置数据,4,,位置地图,27014,0.20元/次,0,0,API数据,,0,,0
,全国农家乐位置数据,4,,位置地图,22293,0.20元/次,0,0,API数据,,0,,0
,OCR行驶证识别,4,,1分钱,22995,0.048元/次,0,0,API数据,,0,,0
,黄历查询,5,,万年历,31919,7.50元/万次,0,0,API数据,,0,,0
,全国疗养院位置数据,4,,位置地图,20785,0.20元/次,0,0,API数据,,0,,0
,全国健身中心位置数据,4,,位置地图,29334,0.20元/次,0,0,API数据,,0,,0
,文档识别,4,,智能识别,28617,0.030元/次,0,0,API数据,,0,,0
,VIN码识别,4,,智能识别,27079,0.30元/次,0,0,API数据,,0,,0
,专利基础检索,4,,知识产权,20946,0.20元/次,0,0,API数据,,0,,0
,全国商铺POI位置数据,5,,位置地图,36642,0.20元/次,0,0,API数据,,0,,0
,身份证识别OCR,4,,智能支付,30159,0.026元/次,0,0,API数据,,0,,0
,营业执照识别,4,,智能风控,29873,0.070元/次,0,0,API数据,,0,,0
,企业工商经营异常信息查询,4,,经营管理,23685,0.15元/次,0,0,API数据,,0,,0
,车牌识别,5,,智能识别,32634,0.035元/次,0,0,API数据,,0,,0
,全国加油站位置数据,4,,位置地图,24138,0.20元/次,10000,0,API数据,,0,,0
,车辆VIN码查询,4,,车辆信息,27654,0.25元/次,0,0,API数据,,0,,0
,二手车精准定价接口,5,,车辆信息,31996,0.008元/次,100000,100000,API数据,,0,,0
,车辆违章查询,4,,交通违章,26516,0.13元/次,2000,2000,API数据,,0,,0
,OCR营业执照识别,4,,智能识别,26267,0.045元/次,0,0,API数据,,0,,0
,高级二手车估值接口,5,,车辆信息,26538,0.008元/次,180000,180000,API数据,,0,,0
,银行卡二要素验证,5,,银行卡核验,26722,0.38元/次,22000,22000,API数据,,0,,0
,驾驶员累计扣分查询,4,,车辆信息,27180,0.14元/次,0,0,API数据,,0,,0
,VIN码车型识别,5,,车辆信息,27550,0.80元/次,1800,1800,API数据,,0,,0
,条码查询,5,,app应用,23748,0.015元/次,45000,45000,API数据,,0,,0
,手机号码归属地,5,,手机号码归属,27462,3.33元/万次,0,0,API数据,,0,,0
,在线翻译,4,,app应用,30911,0.055元/次,0,0,API数据,,0,,0
,OCR增值税发票识别,4,,智能识别,23943,0.080元/次,0,0,API数据,,0,,0
,图片标签,4,,智能识别,20498,0.002元/次,0,0,API数据,,0,,0
,职业资格证书查询,5,,反欺诈,28304,1.60元/次,0,0,API数据,,0,,0
,银行卡归属地,5,,银行卡信息,22654,0.005元/次,810300,810300,API数据,,122000,,10000
,IP地址查询企业版,5,,IP地址,30900,2.00元/万次,10700000,10700000,API数据,,0,,0
,图片鉴黄与鉴暴恐,4,,智能识别,24299,0.003元/次,0,0,API数据,,0,,0
,企业工商详情查询,5,,企业工商,30619,0.15元/次,0,0,API数据,,0,,0
,银行卡归属地查询,4,,风控,22302,0.050元/次,0,0,API数据,,0,,0
,文本摘要提取,4,,智能客服,30948,0.003元/次,0,0,API数据,,0,,0
,全球快递物流查询国际版外语版,4,,快递查询,21433,0.008元/次,0,0,API数据,,0,,0
,身份证正反面自动识别,4,,智能识别,27202,0.043元/次,0,0,API数据,,0,,0
,云智信短信验证码Api,4,,短信API,29317,0.045元/次,0,0,API数据,,0,,0
,长尾词搜索,4,,电子商务,22207,0.36元/次,0,0,API数据,,0,,0
,云智信短信通知Api,4,,短信API,23157,0.045元/次,0,0,API数据,,0,,0
,企业软件著作权查询,4,,知识产权,29322,0.050元/次,0,0,API数据,,0,,0
,翔云营业执照企业工商信息查询验证真伪,4,,企业工商,22030,0.14元/次,0,0,API数据,,0,,0
,商标查询,4,,知识产权,25981,0.095元/次,0,0,API数据,,0,,0
,文本敏感词检测过滤,4,,舆情监测,25387,0.003元/次,0,0,API数据,,0,,0
,自然语言处理,4,,智能识别,21464,8.00元/万次,0,0,API数据,,0,,0
,银行卡四要素验证B版,4,,银行卡核验,28505,0.36元/次,0,0,API数据,,0,,0
,查询企业基本信息,4,,企业工商,28276,0.12元/次,0,0,API数据,,0,,0
,图像分析与识别,4,,智能识别,30497,0.004元/次,0,0,API数据,,0,,0
,云智信201字长短信Api,4,,短信API,22031,0.17元/次,0,0,API数据,,0,,0
,苹果产品鉴定,4,,app应用,29755,0.014元/次,0,0,API数据,,0,,0
,中国和世界天气高级版,5,,天气查询,24025,0.002元/次,6740000,4300000,API数据,,0,,0
,企业工商数据精准查询,5,,企业工商,24442,0.13元/次,600,600,API数据,,0,,0
,身份证二要素验证,5,,银行卡核验,25534,0.090元/次,31000,31000,API数据,,0,,0
,车辆限行,4,,尾号限行,27995,0.007元/次,20000,20000,API数据,,0,,0
,国内城市逐24小时预报,4,,天气查询,23075,0.009元/次,0,0,API数据,,0,,0
,国内机场实况4天逐24小时预报,4,,天气查询,23305,0.020元/次,0,0,API数据,,0,,0
,银行卡三要素验证B版,4,,银行卡核验,25430,0.36元/次,0,0,API数据,,0,,0
,国内天气实况,4,,天气查询,26317,0.080元/次,0,0,API数据,,0,,0
,ISBN查询,5,,app应用,24898,0.005元/次,100000,100000,API数据,,40000,,20000
,国内1天生活指数预报,4,,天气查询,28073,0.012元/次,0,0,API数据,,0,,0
,国内空气质量实况,4,,天气查询,23548,0.009元/次,0,0,API数据,,0,,0
,国内景区实况4天逐24小时预报,4,,天气查询,24134,0.020元/次,0,0,API数据,,0,,0
,国内城市3天逐3小时预报,4,,天气查询,30205,0.009元/次,0,0,API数据,,0,,0
,人脸比对,4,,智能识别,28511,0.068元/次,0,0,API数据,,0,,0
,全球快递物流查询,5,,快递查询,31011,0.004元/次,50000,50000,API数据,,0,,0
,云智信70字营销短信Api,4,,短信API,28384,0.055元/次,0,0,API数据,,0,,0
,全国4A级景点数据按城市查询,4,,位置地图,24151,0.20元/次,0,0,API数据,,0,,0
,全国5A级旅游景点位置数据,4,,位置地图,23582,0.20元/次,0,0,API数据,,0,,0
,全国汽车充电站位置数据,4,,位置地图,26477,0.20元/次,0,0,API数据,,0,,0
,全国飞机场位置数据,4,,位置地图,27789,0.20元/次,0,0,API数据,,0,,0
,全国汽车站位置数据,4,,位置地图,28695,0.20元/次,0,0,API数据,,0,,0
,全国度假村位置数据,4,,位置地图,24855,0.20元/次,0,0,API数据,,0,,0
,全国加气站位置数据,4,,位置地图,22109,0.20元/次,0,0,API数据,,0,,0
,云智信语音通知Api,4,,短信API,25466,0.050元/次,0,0,API数据,,0,,0
,全国四星级宾馆位置数据,4,,位置地图,28798,0.20元/次,0,0,API数据,,0,,0
,全国经济型连锁酒店位置数据,4,,位置地图,30336,0.20元/次,0,0,API数据,,0,,0
,全国三星级宾馆位置数据,4,,位置地图,25381,0.20元/次,0,0,API数据,,0,,0
,拼音转换,4,,智能识别,29109,4.00元/万次,0,0,API数据,,0,,0
,全国一般宾馆酒店位置数据,4,,位置地图,25305,0.20元/次,0,0,API数据,,0,,0
,云智信语音验证码Api,4,,短信API,27541,0.047元/次,0,0,API数据,,0,,0
,中文智能分词,4,,智能客服,31453,9.50元/万次,0,0,API数据,,0,,0
,全国火车站位置数据,4,,位置地图,23685,0.20元/次,0,0,API数据,,0,,0
,OCR汽车车型识别,4,,智能识别,30317,0.028元/次,0,0,API数据,,0,,0
,全国港口码头位置数据,4,,位置地图,25259,0.20元/次,2000,2000,API数据,,0,,0
,全国旅游景点位置数据,5,,位置地图,31131,0.20元/次,0,0,API数据,,0,,0
,短信验证码,5,,短信API,33948,0.040元/次,0,0,API数据,,0,,0
,全国地铁站位置数据,4,,位置地图,27648,0.20元/次,0,0,API数据,,0,,0
,全国银行位置数据,4,,位置地图,26710,0.20元/次,0,0,API数据,,0,,0
,OCR身份证识别,5,,1分钱,22557,0.030元/次,70000,70000,API数据,,0,,0
,银行卡信息查询,5,,银行卡信息,30055,0.006元/次,100000,100000,API数据,,0,,0
,身份证实名认证,5,,身份核验,30742,0.100元/次,105020,104980,API数据,,0,,0
,OCR营业执照识别,4,,智能风控,29501,0.046元/次,10000,10000,API数据,,0,,0
,106营销短信,4,,短信API,21840,0.055元/次,5000,0,API数据,,0,,0
,查询银行卡类型及归属信息,5,,银行卡信息,29832,0.008元/次,0,0,API数据,,0,,0
,106通知短信,5,,短信API,28690,0.034元/次,0,0,API数据,,0,,0
,ISBN数据查询,5,,商品信息,23147,0.012元/次,0,0,API数据,,0,,0
,企业工商信息查询,5,,企业工商,25919,0.20元/次,256000,255800,API数据,,95000,,5000
,航班动态数据,5,,航空航班,23005,0.15元/次,1400,1400,API数据,,0,,0
,工商三要素,4,,企业工商,28189,0.20元/次,0,0,API数据,,0,,0
,阿里巴巴商品描述信息查询,4,,商品信息,24008,0.016元/次,0,0,API数据,,0,,0
,企业二要素核验,4,,企业工商,21854,0.14元/次,0,0,API数据,,0,,0
,企业三要素核验,4,,企业工商,23073,0.15元/次,0,0,API数据,,0,,0
,企业基础信息核验,4,,企业工商,28762,0.65元/次,0,0,API数据,,0,,0
,企业基础信息及联系方式核验,4,,企业工商,26422,0.30元/次,0,0,API数据,,0,,0
,企业资质证书信息核验,4,,企业工商,25166,0.41元/次,0,0,API数据,,0,,0
,商标信息核验,4,,企业工商,25598,0.29元/次,0,0,API数据,,0,,0
,企业专利核验,4,,知识产权,26946,0.29元/次,0,0,API数据,,0,,0
,域名核验,4,,资质备案,24807,0.29元/次,0,0,API数据,,0,,0
,软件著作权核验,4,,知识产权,21830,0.29元/次,0,0,API数据,,0,,0
,著作权核验,4,,知识产权,20693,0.29元/次,0,0,API数据,,0,,0
,公司新闻信息核验,4,,企业综合,21430,1.30元/次,0,0,API数据,,0,,0
,淘宝商品描述信息查询,5,,电子商务,25171,0.016元/次,1000000,1000000,API数据,,0,,0
,招聘信息核验,4,,企业综合,24563,1.30元/次,0,0,API数据,,0,,0
,企业年报信息核验,4,,企业综合,28271,1.60元/次,0,0,API数据,,0,,0
,企业族谱核验,4,,企业综合,29806,15.00元/次,0,0,API数据,,0,,0
,企业法人对外投资核验,4,,企业综合,27758,16.00元/次,0,0,API数据,,0,,0
,企业对外投资公司核验,4,,企业综合,24280,6.80元/次,0,0,API数据,,0,,0
,银行卡三要素实名认证,5,,身份核验,21656,0.35元/次,600,600,API数据,,0,,0
,企业股东对外投资核验,4,,投融资,23634,5.60元/次,0,0,API数据,,0,,0
,企业经营异常核验,4,,企业综合,28043,0.29元/次,0,0,API数据,,0,,0
,证件照获取,4,,app应用,25218,1.20元/次,0,0,API数据,,0,,0
,相关词挖掘,4,,舆情监测,23359,0.21元/次,0,0,API数据,,0,,0
,关键词搜索量,4,,舆情监测,27864,0.040元/次,0,0,API数据,,0,,0
,活体检测,4,,风控,23190,0.20元/次,0,0,API数据,,0,,0
,银行卡OCR识别,4,,智能识别,29098,0.080元/次,0,0,API数据,,0,,0
,发票核验,4,,企业综合,30415,0.24元/次,0,0,API数据,,0,,0
,司法拍卖信息核验,4,,司法,21493,0.28元/次,0,0,API数据,,0,,0
,VIN码查发动机号,5,,车辆信息,24050,1.40元/次,0,0,API数据,,0,,0
,法院公告信息核验,4,,司法,27571,0.28元/次,0,0,API数据,,0,,0
,被执行人信息查询,4,,黑名单,24563,0.40元/次,0,0,API数据,,0,,0
,车辆出险D版,5,,车辆信息,31753,17.00元/次,1366,1366,API数据,,222,,0
,频道新闻API,5,,新闻资讯,25924,0.83元/万次,8000000,8000000,API数据,,0,,0
,被执行人核验,4,,司法,30963,0.28元/次,0,0,API数据,,0,,0
,企业开庭公告核验,4,,司法,25022,1.20元/次,0,0,API数据,,0,,0
,银行卡归属地查询,5,,银行卡信息,33134,0.004元/次,917110,768000,API数据,,0,,0
,联通手机状态验证尊享版,4,,手机号验证,26104,0.30元/次,0,0,API数据,,0,,0
,身份证信息查询,5,,身份核验,27819,0.003元/次,200000,0,API数据,,0,,0
,景点信息查询,4,,位置地图,30962,0.010元/次,0,0,API数据,,0,,0
